parent_region;region;u_name;popularity;cost_per_week;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec;safety;nature;hiking;beach;watersports;entertainment;wintersports;culture;culinary;architecture;shopping;description
;World;;;400.0;o;o;o;o;o;o;o;o;o;o;o;o;o;o;o;o;o;o;o;o;o;o;o;
World;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;
World;North America;;;;;;;;;;;;;;;;;;;;;;;;;;;
World;Middle America and Caribbean;;;;;;;;;;;;;;;;;;;;;;;;;;;
World;South America;;;;;;;;;;;;;;;;;;;;;;;;;;;
World;Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;
World;Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;
World;Oceania;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
North America;Canada;;;725.0;;;;;;;;;;;;;+;;;;;;;;;;;
